"Category","Archive","RelativePath","Extension","SizeKB","Width","Height","FirstSliceCandidate","SourcePath"
"Crimson Gothic Castle","Cimson Gothic Castle 2","Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (4).png",".png","2237.5","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (4).png"
"Crimson Gothic Castle","Cimson Gothic Castle 2","Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (5).png",".png","2568.78","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (5).png"
"Crimson Gothic Castle","Cimson Gothic Castle 2","Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (6).png",".png","2121.77","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (6).png"
"Crimson Gothic Castle","Cimson Gothic Castle 2","Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (7).png",".png","2170.78","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (7).png"
"Crimson Gothic Castle","Cimson Gothic Castle 2","Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (8).png",".png","2362.24","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (8).png"
"Crimson Gothic Castle","Cimson Gothic Castle 2","Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (9).png",".png","2888.61","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Cimson Gothic Castle 2\Cimson Gothic Castle 2\Set 2 (9).png"
"Crimson Gothic Castle","Crimson Gothic Castle","Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (1).png",".png","674.95","619","619","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (1).png"
"Crimson Gothic Castle","Crimson Gothic Castle","Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (2).png",".png","645.62","619","619","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (2).png"
"Crimson Gothic Castle","Crimson Gothic Castle","Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (3).png",".png","586.08","619","619","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (3).png"
"Crimson Gothic Castle","Crimson Gothic Castle","Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (4).png",".png","2115.02","1024","1024","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle\Crimson Gothic Castle\Set 1 (4).png"
"Crimson Gothic Castle","Crimson Gothic Castle 3","Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (1).png",".png","3438.56","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (1).png"
"Crimson Gothic Castle","Crimson Gothic Castle 3","Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (2).png",".png","3156.64","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (2).png"
"Crimson Gothic Castle","Crimson Gothic Castle 3","Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (3).png",".png","2623.63","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (3).png"
"Crimson Gothic Castle","Crimson Gothic Castle 3","Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (4).png",".png","2750.5","1254","1254","Review","F:\Nocturne Signal\asset_intake\extracted\Crimson Gothic Castle\Crimson Gothic Castle 3\Crimson Gothic Castle 3\Set 3 (4).png"
